abscissa	curvature	dir_mid_line	x_mid_line	y_mid_line	elevation	slope	banking	torsion	upsilon	width_no_kerbs_L	width_no_kerbs_R	width_kerbs_L	width_kerbs_R	width_kerbsMod_and_Constraint_MLT_L	width_kerbsMod_and_Constraint_MLT_R
362.43993722710098382	0.029199228196950883368	-7.2015692250942500152	-26.843712303600586466	23.611002608425682325	-0.9431465461	0.000473380754805	0.00153193688423	-4.30196287188e-06	4.60247674633e-05	4.0175338	3.7907552	4.0577853	3.7234196	4.0577853	3.7234196
363.44115254310855789	0.035671888916153922378	-7.1690942006904752049	-26.223483332807607127	22.825089141127094194	-0.9431879483	0.000475266742839	0.00151384980576	-9.04437804722e-06	5.51078981102e-05	3.9812461	3.8677925	4.0255868	3.79185	4.0255868	3.79185
364.44236785911613197	0.041998949694973149172	-7.130138650282864532	-25.575599237460895807	22.061838535402589656	-0.9432122483	0.000476594427245	0.00149521366389	-1.38478243965e-05	6.3926344317e-05	3.9511691	3.9634782	3.9958813	3.8915433	3.9958813	3.8915433
365.44358320468654711	0.050142220994670076706	-7.0840207412344842197	-24.895963454280657601	21.326753804117828395	-0.9432056419	0.000476836442439	0.00147594348301	-1.9456053901e-05	7.47102517102e-05	3.9332848	4.077166	3.9592994	4.0390868	3.9592994	4.0390868
366.44479852069406434	0.058322431847131407656	-7.0297224470081722814	-24.180320095959427107	20.626724994762554388	-0.9431824915	0.000476497305288	0.00145633390477	-2.51819398732e-05	8.54249166069e-05	3.926561	4.2080039	3.9184731	4.237419	3.9184731	4.237419
367.44601383670169525	0.066572202013947437416	-6.9672339998917163228	-23.425072780289493579	19.969680583495399873	-0.943130648	0.000475024110114	0.0014365856432	-3.09289062556e-05	9.5797282814e-05	3.9268531	4.3530354	3.8750904	4.4400539	3.8750904	4.4400539
368.44722913928916341	0.073560949269618050583	-6.8970797440485975827	-22.627915531756386258	19.364237525171759557	-0.9430633153	0.000472938724324	0.00141676251718	-3.61305455741e-05	0.000104244880624	3.9302195	4.4990377	3.822376	4.5842776	3.822376	4.5842776
369.44844445529673749	0.08055107896892244046	-6.8199358540717911481	-21.788404582712182389	18.819117017099092237	-0.9429701073	0.000469665863297	0.00139731762554	-4.12509542253e-05	0.000112320664034	3.9349179	4.6254102	3.7922423	4.6678075	3.7922423	4.6678075
370.44965973193313857	0.087239899317609337359	-6.7358110680469289733	-20.907753461466803913	18.343412695896283537	-0.9428628134	0.000465746566045	0.00137807863662	-4.61839324055e-05	0.000119753933228	3.940056	4.7166549	3.8209486	4.7506635	3.8209486	4.7506635
371.45087504794071265	0.087860119443360640279	-6.6481546532786586212	-19.989353514717382865	17.945503221964646201	-0.9427330995	0.000460610494533	0.00135962214291	-4.8206462069e-05	0.000118726689857	3.9444344	4.7586861	3.8577944	4.74102	3.8577944	4.74102
372.45209036394828672	0.088679587991887687259	-6.5598772631884374462	-19.039551233488527515	17.629818384540321574	-0.942591078	0.000454806460891	0.00134159520887	-5.01948073661e-05	0.000117709407078	3.9490121	4.7449729	3.9046809	4.6682401	3.9046809	4.6682401
373.45330508163078775	0.087809871784660389893	-6.4711020906216445425	-18.065549540739109347	17.399395654636084174	-0.9424301132	0.000447781789763	0.0013245243387	-5.15212668494e-05	0.000115037579224	3.9532396	4.6798002	3.9695317	4.6194168	3.9695317	4.6194168
374.45452039763841867	0.081662764872002621686	-6.3862628387702482513	-17.075135906511711426	17.254786641544953341	-0.9422586621	0.000440081408597	0.00130798271815	-5.04058231617e-05	0.000105267081429	3.9551872	4.5796325	4.0107633	4.641022	4.0107633	4.641022
