s	time	x	y	Vx	Vy	yaw_rate	ax	ay	delta	throttle	brake
201.205770236	8.89748770008	-65.802888011	13.3140892597	20.7304834843	-1.03179452309	0.461625447505	-7.83304353745	9.51999084596	-0.00158863234551	2.86481583115e-78	-0.467530138623
202.75350693	8.97348259756	-64.956806166	12.033369063	20.0517567099	-0.973649570205	0.323982144763	-9.18064532246	8.07670504939	-0.00934493999905	3.5691587725e-110	-0.557584639021
204.301243624	9.05234477495	-64.0765749999	10.7833780295	19.2786065663	-0.825055950017	0.25998137883	-9.86043809993	7.18910173484	-0.00711615182506	6.40388425663e-128	-0.601871480545
205.848980318	9.13456049293	-63.1647520759	9.56341279972	18.4427582181	-0.664037661802	0.264544257267	-10.0703970957	6.6045923348	-0.00061914944603	1.21111060048e-133	-0.61547510894
207.396717013	9.22053614867	-62.2234930194	8.37462470539	17.5611172666	-0.550958888642	0.292233140422	-10.092740756	6.02682381814	0.00316721306619	3.69065221514e-135	-0.619028601965
208.944453707	9.31062645078	-61.2545495465	7.21827330862	16.6424802617	-0.484185988138	0.296656877362	-9.99217692693	5.50961113541	0.00334883228691	8.61856168257e-133	-0.613468507551
210.492190401	9.4051314429	-60.2578786471	6.09770960457	15.7060663976	-0.415598110042	0.356535320375	-9.53069082413	6.46371792935	0.0172399323767	3.2250500197199997e-119	-0.580577000293
212.039927095	9.50417638301	-59.2375239608	5.03661277013	14.8110924214	-0.384027210728	0.624995250001	-8.15090125107	8.93459775927	0.0520671988519	2.81366846736e-81	-0.476746903549
213.587663789	9.60726678259	-58.2054643451	4.07596997469	14.0647192542	-0.544055034439	1.00559355946	-5.48589535645	11.5545216774	0.0746459812969	3.02642126273e-32	-0.292256457875
215.135400483	9.71287098252	-57.1753211771	3.24575842547	13.5372318064	-0.894404335324	1.26054861752	-2.81570021841	13.0506076723	0.0595930986959	3.91663041344e-11	-0.140986233866
216.683137177	9.81891500353	-56.1416477995	2.54134176873	13.1424786236	-1.28010746882	1.28281663662	-1.87904656106	13.5793031116	0.0325738114492	1.22317532088e-06	-0.0888680703336
218.230873871	9.92361289955	-55.0870892751	1.94847405268	12.789010021	-1.52331116907	1.2289365203	-1.35907668967	14.2815339648	0.0214428033301	2.11552282912e-05	-0.0694318297763
219.778610566	10.0257808085	-54.000616407	1.46497940283	12.4657524046	-1.60327788406	1.19166690543	-1.18688313238	14.6806581017	0.0234257302534	0.000189935584272	-0.0513803676265
221.32634726	10.1244854546	-52.8769913023	1.09565140924	12.1761559282	-1.5786440068	1.17128783969	-0.924896071916	14.9115481663	0.0311895491683	0.000750966014165	-0.0381078868052
222.874083954	10.2198489129	-51.7195856846	0.853195066629	11.9182978619	-1.49101959479	1.16031031289	-0.904201229178	15.0073258978	0.0420793316425	0.00197034705411	-0.0277982397145
224.421820648	10.312696853	-50.5376297132	0.750924580169	11.6864477177	-1.36355164427	1.15594082156	-0.782797127171	15.068165658	0.0550696712792	0.00377282688931	-0.0205438977229
225.969557342	10.404506296	-49.3521837387	0.801277928924	11.4748658172	-1.20958085615	1.15818970851	-0.847996018579	15.0807873755	0.0697643763055	0.00585649492869	-0.015651261317
227.517294036	10.4970721499	-48.1921608607	1.00657870039	11.2773611916	-1.03851162429	1.16884671258	-0.801010525947	15.0824281048	0.0860541209102	0.00861351352763	-0.0115208646024
229.06503073	10.5913869269	-47.0850484707	1.36213427054	11.0917627048	-0.861531799868	1.19088904654	-0.891273462341	15.057767446	0.103542036116	0.0116204119184	-0.00853127409061
230.612767424	10.6881401824	-46.0572628428	1.85515020318	10.9159665672	-0.69325720451	1.22583903942	-0.860415600063	15.0079838581	0.120218624098	0.015456133678	-0.00596165916608
232.160504119	10.7870463497	-45.1302165371	2.46828957971	10.7526049756	-0.550292440431	1.26784330504	-0.890257397453	14.8927600676	0.132715026373	0.0200515023633	-0.00394221820063
233.708240813	10.887424002	-44.3147034595	3.18685391971	10.6050048924	-0.441565381975	1.30428325789	-0.770550999148	14.7310931465	0.140018467887	0.0255279741013	-0.00241768384275
235.255977507	10.9881167688	-43.6190693549	3.99455282888	10.4783891167	-0.362848352031	1.32377298092	-0.685072563771	14.5255096988	0.143453960117	0.0332909919323	-0.00118888139324
236.803714201	11.0878612044	-43.0437853809	4.88773430396	10.376883161	-0.299558301178	1.3173926368	-0.470960906007	14.2711838507	0.142858494299	0.0413883630349	-0.000543280991848
238.351450895	11.185590203	-42.5936911922	5.86245786739	10.3110030442	-0.235748822576	1.27336870122	-0.177839147499	13.8038405803	0.137303606411	0.0587732050701	-8.12258493594e-05
239.899187589	11.2811012647	-42.2774836307	6.92040132469	10.2946501103	-0.153827789005	1.17135155444	0.328456423839	13.0348500793	0.125963661199	0.0797739542198	-4.95744063005e-06
241.446924283	11.3751307897	-42.1033995837	8.0640884888	10.377168831	-0.0751870543237	1.02813110765	1.69392055527	11.2728477299	0.109345707403	0.169448120371	-2.4572025739599998e-14
